a,b,a_flavors,b_flavors,compatibility
garlic,oregano,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,new mown hay@herbal@prune@powdery@wood@ether@citrus@odorless@butterscotch@bitter@smoky@sulfur@strong@berry@jasmin@lemon@spicy@oil@spice@leafy@roasted@floral@sour@nutty@vanilla@resinous@peppery@carnation@violet@bland@mint@tobacco@honeysuckle@apple@minty@alkane@raw@must@camphoraceous@leather@hawthorne@balsamic@solvent@fruity@cherry@burnt@butter@storax@cedar@almond@amber@peach@orange@musty@sulfurous@magnolia@phenolic@fir needle@wax@woody@grassy@chocolate@shrimp@sweet@rose@warm@mustard@malt@licorice@rubber@potato@moss@pineapple@ethereal@balsam@brown@harsh@acidic@cultured dairy,0.16567859890482872
garlic,egg,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,,0.08798017348203221
garlic,water,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,bitter@sour@grassy,0.10164476546862762
garlic,sugar,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,sour@grassy@bitter@bland,0.11812319323993774
garlic,mozzarella cheese,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,hop_oil@fat@apple@balsamic@musty@sulfurous@solvent@pungent@ethereal@rancid@fruity@ether@soap@hazelnut@acetophenone@sulfur@oil@leafy@sour@orange@lemon@sweaty@pineapple@peach@roast beef@burnt@coconut@nutty@alcoholic@fatty@citrus@truffle@phenol@green@tobacco@fermented@malt@unpleasant@waxy@ammonia@bready@raw@potato@spice@butter@hawthorne@cheesy@lard@lavender@dairy@cabbage@rubber@faint@very strong@odorless@must@peppery@yeast@woody@strong@wine@cultured dairy,0.08973520045369279
garlic,bell pepper,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,new mown hay@prune@alkane@powdery@wood@naphthyl@ether@citrus@odorless@bland@butterscotch@bitter@pungent@sulfur@sour@strong@ethereal@berry@caraway@lemon@paint@spice@acrylic@leafy@roasted@chocolate@alcoholic@nutty@vanilla@oil@dry@resinous@hazelnut@peppery@tallow@orange@violet@carnation@tobacco@lime@mint@honeysuckle@apple@hawthorne@chemical@minty@phenol@coconut@must@camphoraceous@butter@caramel@cheesy@herbal@balsamic@solvent@floral@magnolia@cherry@fruity@burnt@fatty@storax@sweat@geranium@almond@peach@musty@sulfurous@apricot@kiwi@wax@bean@rancid@earthy@phenolic@fir needle@soap@apple skin@grassy@ammoniacal@acidic@shrimp@sweet@rose@mustard@alkaline@smoke@malt@rubber@potato@pepper@moss@pineapple@brown@harsh@woody@balsam@cultured dairy,0.10446035487170365
garlic,ground beef,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,geranium@roasted@caramellic@mustard@citrus@balsamic@roast@wax@ether@ethereal@bean@rancid@bland@vegetable@earthy@peach@hazelnut@pungent@odorless@wasabi@sulfur@orange@egg@camphoraceous@fatty@coconut@nut@bready@grassy@lemon@tobacco@potato@crushed bug@sweaty@bitter@lactonic@roast beef@balsam@apple@garlic@cooling@cabbage@waxy@chocolate@sour@musty@jam@rose@butter@phenol@peppery@sweet@nutty@tallow@sulfurous@oil@green@raw@violet@unpleasant@syrup@ammonia@caramel@truffle@minty@solvent@rubber@harsh@citrus peel@burnt@hawthorne@floral@leafy@mint@beefy@acetic@jasmin@lavender@bloody@radish@alcoholic@yeast@chamomile@pineapple@spicy@soap@sulfury@dill@maple@cheesy,0.09714791067875304
garlic,mushroom,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,caramellic@peach@new mown hay@bitter@musty@sulfurous@prune@lemon@powdery@ether@fatty@citrus@rancid@odorless@minty@butterscotch@magnolia@phenolic@pungent@acetophenone@sulfur@soap@oil@sour@strong@berry@nut@grassy@orange@potato@crushed bug@sweaty@mushroom@shrimp@pineapple@roast beef@herbal@balsam@apple@acrylic@leafy@rose@roasted@burnt@coconut@alcoholic@spice@chocolate@nutty@banana peel@vanilla@resinous@hazelnut@phenol@floral@peppery@mustard@oily@violet@carnation@bland@tobacco@cooling@tutti frutti@honeysuckle@malt@unpleasant@bready@solvent@mint@medical@raw@butter@camphoraceous@mignonette@broom@lilac@hawthorne@blackcurrant@cheesy@moss@caramel@lard@balsamic@ethereal@waxy@fragrant@brown@cherry@harsh@acidic@woody@storax@beefy@almond@dill@cultured dairy@rubber@alkane,0.09800508769580935
garlic,spaghetti,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,,0.09005453819890924
garlic,milk,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,mustard@minty@peach@balsamic@musty@solvent@wax@pungent@naphthyl@fatty@ether@citrus@bland@soap@hazelnut@butter@ethereal@apple@sulfur@oil@leafy@sour@caramel@chocolate@grassy@orange@odorless@acrylic@burnt@coconut@alcoholic@vanilla@phenol@alkaline@potato@pineapple@smoke@waxy@bready@cheesy@spice@lemon@hawthorne@strawberry@bitter@acetic@rose@very strong@herbal@gardenia@acidic@cultured dairy,0.06935093509350936
garlic,red pepper flake,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,,0.11937196952205033
garlic,carrot,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@sulfur@strong@berry@lemon@pleasant@caramellic@peach@spice@leafy@roasted@sour@nutty@vanilla@oil@resinous@peppery@violet@carnation@tobacco@alcoholic@honeysuckle@apple@bready@minty@mint@must@camphoraceous@wood@magnolia@hawthorne@herbal@caramel@balsamic@solvent@floral@cherry@burnt@butter@curry@storax@cedar@geranium@almond@ammonia@orange@flower@musty@sulfurous@rancid@phenolic@fir needle@soap@wax@woody@grassy@potato@acidic@shrimp@sweet@rose@mustard@ammoniacal@alkaline@malt@herb@rubber@earthy@pepper@neroli@moss@pineapple@ethereal@brown@oriental@balsam@harsh@waxy@spicy,0.08095709274084735
garlic,flour,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,bitter@grassy@sour,0.0577548203232845
garlic,oil,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,bitter@grassy@bland@sour,0.06953702035669249
garlic,olive,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,new mown hay@prune@powdery@ether@apple@citrus@odorless@butterscotch@bitter@sulfur@strong@berry@peach@leafy@roasted@burnt@sour@nutty@vanilla@oil@peppery@orange@carnation@pineapple@bland@tobacco@honeysuckle@spice@bready@minty@mint@coconut@raw@camphoraceous@hawthorne@balsamic@solvent@floral@cherry@herbal@butter@storax@geranium@almond@overripe fruit@musty@sulfurous@lemon@soap@magnolia@phenolic@grassy@shrimp@sweet@rose@mustard@malt@rubber@tropical@potato@strawberry@moss@ethereal@vegetable@brown@acidic@woody@balsam,0.05974014376925481
garlic,pasta,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,new mown hay@bitter@musty@sulfurous@prune@lemon@ether@citrus@odorless@butterscotch@magnolia@phenolic@sulfur@strong@berry@grassy@sour@shrimp@herbal@leafy@rose@roasted@apple@nutty@vanilla@oil@powdery@peppery@mustard@carnation@bland@tobacco@honeysuckle@malt@spice@rubber@minty@mint@potato@camphoraceous@hawthorne@moss@balsamic@pineapple@solvent@ethereal@brown@floral@cherry@burnt@butter@acidic@woody@storax@almond@balsam@peach@orange,0.06595677764298873
garlic,spinach,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,bland@new mown hay@prune@ether@citrus@odorless@butterscotch@bitter@sulfur@sour@strong@berry@jasmin@fat@leafy@roasted@burnt@nutty@vanilla@oil@powdery@peppery@soil@violet@carnation@tobacco@honeysuckle@apple@spice@spicy@minty@mint@raw@camphoraceous@amber@magnolia@rubber@hawthorne@balsamic@solvent@floral@cherry@herbal@butter@curry@storax@soap@almond@ammonia@peach@orange@musty@sulfurous@lemon@wax@phenolic@grassy@potato@acidic@shrimp@rose@ammoniacal@mustard@alkaline@unpleasant@malt@moss@pineapple@ethereal@brown@nut@woody@balsam,0.06872401951924814
garlic,broccoli,bland@new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@ethereal@sulfur@strong@berry@garlic@roast beef@sulfurous@cabbage@leafy@roasted@sour@nutty@vanilla@oil@peppery@potato@carnation@tobacco@honeysuckle@cherry@apple@spice@minty@mint@camphoraceous@hawthorne@balsamic@solvent@floral@herbal@burnt@butter@storax@vegetable@green@almond@mustard@peach@orange@musty@lemon@magnolia@phenolic@smoke@roast@grassy@shrimp@rose@malt@rubber@moss@pineapple@brown@acidic@woody@balsam@mild,new mown hay@prune@powdery@ether@citrus@odorless@butterscotch@bitter@sulfur@strong@berry@leafy@roasted@burnt@sour@nutty@vanilla@oil@peppery@carnation@bland@tobacco@honeysuckle@apple@spice@hawthorne@minty@mint@camphoraceous@balsamic@solvent@floral@cherry@herbal@butter@storax@almond@cabbage@green@peach@orange@musty@sulfurous@lemon@watercress@magnolia@phenolic@grassy@acidic@shrimp@sweet@rose@mustard@malt@rubber@mushroom@potato@moss@pineapple@ethereal@brown@hazelnut@woody@balsam,0.062089444794384954
